tweet_id,created_at,text
1236028144852668416,Fri Mar 06 20:37:28 +0000 2020,"God curse you Azize
What have you doneeeee
You ruint their lives 
#kendimiaffetmiyorum"
1236028174435266560,Fri Mar 06 20:37:35 +0000 2020,"@tonyschiavone24 @DaBuggityBug PMA Tony and Bug.  Good vibes to Bug, you and the fam!"
1236028174749716480,Fri Mar 06 20:37:35 +0000 2020,I'm SCREAMING lol
1236028187257081856,Fri Mar 06 20:37:38 +0000 2020,4 Powerful Tools for Getting Alerts of New Backlinks to your Website https://t.co/RMlbqry1vP
1236028217003249665,Fri Mar 06 20:37:45 +0000 2020,@OkeeffeLynn @themainmanmono @tcddublin Possibly the same species given the location but more likely a giant European house spider.
1236028228667617286,Fri Mar 06 20:37:48 +0000 2020,"“C'mon! Show me your cash!”

Darkstalkers B.B. Hood set had a bunch of crazy shots in it. 😂

Can find this set and more on https://t.co/AvOMQyBpMW https://t.co/ZyNy6e0Ywn"
1236028279431323652,Fri Mar 06 20:38:00 +0000 2020,If you receive this rat picture I’m coming for your oc https://t.co/7x8aUhovHx
1236028308409782278,Fri Mar 06 20:38:07 +0000 2020,"Gorr the God Butcher is my final guess. I have a few more that I think Bale could be playing. I’ll go over them, Gorr, and this news in 2-weeks on @BTwBN_WMLN 🎙 
#ThorLoveAndThunder"
1236028313220591617,Fri Mar 06 20:38:08 +0000 2020,"In case you didn’t hear,

The FISA court has just banned all officials involved in the Carter Page wiretaps from seeking any further surveillance.

They should all be fired too!"
1236028316802527234,Fri Mar 06 20:38:09 +0000 2020,@Texasgal1981 The belief in God has nothing to do with abortion laws.
1236028321365987328,Fri Mar 06 20:38:10 +0000 2020,"I remember visiting Vermont's ""sister state"" in Karelia, where Ben and Jerry's set up an ice deal-making operation. They were playing around with calling ""Chunky Monkey"" by a new name in Russian - ""Banana Karenina."" Dangerous interaction with the enemy! https://t.co/RoNkmgNfzY"
1236028325128212481,Fri Mar 06 20:38:11 +0000 2020,"""Even when a lion is hungry, it wont eat grass; and don't change your principles just because your stomach is empty."" ~ Mzilikazi wa Afrika"
1236028371433402368,Fri Mar 06 20:38:22 +0000 2020,"""You say you are anxious about the future.........but don't you know that the Lord is with you always and that our enemy has no power over one who has resolved to belong entirely to Jesus."""
1236028384393732103,Fri Mar 06 20:38:25 +0000 2020,"Launched in 2018, the UVED program has diverted thousands from court and raised more than a million dollars for the state. But so far no one has been prosecuted for not having insurance. It sounds like that's about to change. | via @DGoforth918

https://t.co/4cbnGVvKYm"
1236028388688584704,Fri Mar 06 20:38:26 +0000 2020,"@AlexRigsTheGame @KathrynAnn66 @KoriWasinger @pronounced_ing @JoyAnnReid @ewarren @maddow Because a essay fantasizing about rape is just disgusting. And Biden has shown through the years that he has changed and grown. He has emphasized women’s issues throughout his career, including taking lead on the VAWA. Bernie hasn’t."
1236028421572001798,Fri Mar 06 20:38:34 +0000 2020,Who had “armed walmart toilet paper defense militias” on their 2020 bingo card because not me folks not me https://t.co/oBdL5Yb17V
1236028438600876032,Fri Mar 06 20:38:38 +0000 2020,TERRIBLE OFFICIATING OH MY GOD
1236028438827479042,Fri Mar 06 20:38:38 +0000 2020,An Eton master who faces seven charges of sexual assault against three pupils has been named as Matthew Mowbray. Magistrates imposed reporting restrictions to prevent his identification and other details but these were successfully challenged by The Times https://t.co/te2W6uPn6F
1236028468237709312,Fri Mar 06 20:38:45 +0000 2020,Shaq was a savage on the court https://t.co/2x0l3EBQcD
1236028476475482115,Fri Mar 06 20:38:47 +0000 2020,Daily snake milking o3o https://t.co/mblWz4LQgL
1236028480749367298,Fri Mar 06 20:38:48 +0000 2020,Remember the movie Contagion written by Scott Z. Burns? Well... here’s the trailer. https://t.co/pN3ne5yRav
1236028480850219009,Fri Mar 06 20:38:48 +0000 2020,@lesshumbleteej it’s really disgusting that you’re celebrating this. what’s the link?
1236028501716799492,Fri Mar 06 20:38:53 +0000 2020,@lunarseokjins god i hate them
1236028501880430595,Fri Mar 06 20:38:53 +0000 2020,"When the Devil dances, they are screaming in heaven.
LCF"
1236028523006976000,Fri Mar 06 20:38:58 +0000 2020,Expose another soulless Dem hater..
1236028552052645888,Fri Mar 06 20:39:05 +0000 2020,"Oh FFS, where the hell are they supposed to insert them? God only knows when all this shit will end."
1236028567668039680,Fri Mar 06 20:39:09 +0000 2020,"On this #EmployeeAppreciationDay, we want to celebrate the amazing work done by Bay Cove's nearly 2,000 full-and part-time staff, who work tirelessly each day to support individuals with the greatest challenges. We thank them for everything they do!
https://t.co/EgdwruJFew"
1236028581358252034,Fri Mar 06 20:39:12 +0000 2020,Child porn would disappear off the internet within weeks if big tech was made legally liable for hosting it. https://t.co/6WqO3nQ8Fv
1236028662497112065,Fri Mar 06 20:39:32 +0000 2020,@louftkissy god i hate locals😭
1236028664896241666,Fri Mar 06 20:39:32 +0000 2020,"""I went to watch Wales at rugby when I was at Cardiff.""

""I have NEVER heard a national anthem like that."" 🏴󠁧󠁢󠁷󠁬󠁳󠁿

""The hairs on my back, and I'm bloody English!"" 😂

Neil Warnock on his love of the Welsh national anthem. 🎵 https://t.co/Y9zAuWcRo3"
1236028807871696898,Fri Mar 06 20:40:06 +0000 2020,"https://t.co/0TQGkDXbR0

While searching for his sixteen-year-old ward, Billie,  Jack Stein stumbles upon an alien conspiracy that may alter the future of humanity

#amreading #scifi #Noir #KindleUnlimited"
1236028824535605255,Fri Mar 06 20:40:10 +0000 2020,People buying all my god damn toilet paper. #TrendsThatNeedToCalmDown
1236028862389268481,Fri Mar 06 20:40:19 +0000 2020,Me when I found out that Obama was a war criminal just like killary https://t.co/cKroN4qF0M
1236028866558169088,Fri Mar 06 20:40:20 +0000 2020,@CharlesCDowd God that announcement took forever. I'm so mad they waited until a week out. People were already sending their prints up to Seattle!
1236028954219294720,Fri Mar 06 20:40:41 +0000 2020,"Bruhh. U b flying spaghetti monster,don't care.Saying y u r nt a Hi
1) uve consumed beef. let's say u made penance&amp;mended ur way.
2) u r ok with ur mrs consuming beef
3) ur kids hav most C names ever.
4) ur FB is filled with pics of Christmas celeb but on Diwali u sent WA msg https://t.co/22qCaZcTPj"
1236028971696840704,Fri Mar 06 20:40:45 +0000 2020,@RikaReek I love me some witch hazel
1236028979661938688,Fri Mar 06 20:40:47 +0000 2020,may god protect asim from all this wickedness on earth and buri nazar from evil eyes
